t=2026-03-16T04:44:17-0300 lvl=info msg="no configuration paths supplied"
t=2026-03-16T04:44:17-0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Calixto\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-03-16T04:44:17-0300 lvl=info msg="open config file" path=C:\\Users\\Calixto\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-03-16T04:44:17-0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-16T04:44:17-0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-16T04:44:17-0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-16T04:44:17-0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=11b22356c3ca l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=77797295fd9a l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=f21bdbe95ce2 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=72372e74b587 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=bc379c4ece16 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=38095c4c8919 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=a0a85a42bb08 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=c9d4bb5a85d0 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=0dcf2035de49 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=55841695796f l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=078d65ab02ef l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=3eec6348a93f l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:49678
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=5e4430e935f5 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=ba6fb504af78 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=478be96447bf l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=7d2f68cf2e36 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=c7a66648dd68 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=8cb76662deb3 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=156f415cdfe5 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:49:50-0300 lvl=info msg="join connections" obj=join id=3ca2fcb775aa l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:51785
t=2026-03-16T04:49:50-0300 lvl=info msg="join connections" obj=join id=e8f93e2eddb8 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:52463
t=2026-03-16T04:50:22-0300 lvl=info msg="join connections" obj=join id=d75f8342d63e l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:53879
